Country,CountryCode,Year,PrimaryEnrol_3,NatIncome_5,IncomeCapita_7,AgriLand_9,AirFreight_14,AirPassengers_15,PriceIndex_24,HlthExCapita_33,DepIntRate_35,kWhCapita_45,GDP_65,GDPCapita_67,Inflation_83,Labor_89,LandArea_90,LenIntRate_91,MfgValGDP_96,Population_110,ServicesAdd_130,TaxGDP%_135,Developed,Global North/South
Australia,AUS,1972,,"42,797,203,937","3,248","4,998,150",220,"7,795,600",11.45,,,"3,881","52,051,401,869","3,950",6.02,,"7,682,300",7.02,,"13,177,000",,17.84,1,Global North
Australia,AUS,1973,95.15,"52,751,187,267","3,943","4,978,970",267,"9,384,600",12.49,,,"4,230","63,844,971,172","4,772",9.09,,"7,682,300",7.34,,"13,380,000",,17.02,1,Global North
Australia,AUS,1974,94.52,"73,155,578,893","5,331","5,003,570",315,"10,664,700",14.41,,,"4,579","88,981,577,008","6,484",15.42,,"7,682,300",9.38,,"13,723,000",,18.05,1,Global North
Australia,AUS,1975,97.28,"80,375,365,028","5,785","4,995,470",327,"11,055,100",16.6,,,"4,782","97,333,060,221","7,006",15.16,,"7,682,300",10.27,,"13,893,000",,19.87,1,Global North
Australia,AUS,1976,98.3,"86,878,036,916","6,191","5,007,420",354,"10,864,300",18.81,,,"4,902","105,101,000,000","7,490",13.32,,"7,682,300",9.92,,"14,033,000",,20.29,1,Global North
Australia,AUS,1977,99.98,"90,327,481,162","6,365","4,915,100",376,"11,306,500",21.12,,,"5,251","110,388,000,000","7,778",12.31,,"7,682,300",9.88,,"14,192,000",,20.53,1,Global North
Australia,AUS,1978,99.98,"96,554,750,158","6,725","4,961,000",460,"12,122,300",22.81,,,"5,416","118,536,000,000","8,256",8,,"7,682,300",9.38,,"14,358,000",,20.4,1,Global North
Australia,AUS,1979,99.98,"107,687,114,341","7,420","4,932,380",528,"13,022,500",24.9,,,"5,666","134,941,000,000","9,297",9.12,,"7,682,300",9.13,,"14,514,000",,19.76,1,Global North
Australia,AUS,1980,99.95,"119,788,197,115","8,153","4,956,380",517,"13,648,800",27.42,,,"5,915","150,032,000,000","10,212",10.14,,"7,682,300",9.98,,"14,692,000",,20.41,1,Global North
Australia,AUS,1981,99.91,"144,454,106,042","9,677","4,955,650",556,"13,219,500",30.02,,13.62,"6,153","176,953,000,000","11,855",9.49,,"7,682,300",11.83,,"14,927,000",,21.46,1,Global North
Australia,AUS,1982,99.09,"154,917,975,689","10,207","4,907,720",576,"13,187,900",33.43,,15.01,"6,391","194,105,000,000","12,789",11.35,,"7,682,300",13.29,,"15,178,000",,21.58,1,Global North
Australia,AUS,1983,98.11,"143,775,424,714","9,355","4,837,890",625,"12,601,500",36.78,,12.85,"6,366","177,334,000,000","11,538",10.04,,"7,682,300",12.42,,"15,369,000",,21.71,1,Global North
Australia,AUS,1984,96.3,"155,903,428,342","10,030","4,865,580",734,"13,236,800",38.24,,12.46,"6,700","193,594,000,000","12,455",3.96,,"7,682,300",11.5,,"15,544,000",,21.01,1,Global North
Australia,AUS,1985,96.35,"143,370,280,075","9,098","4,867,910",815,"14,412,100",40.82,,14.01,"7,008","180,574,000,000","11,459",6.73,,"7,682,300",12.42,,"15,758,000",,22.5,1,Global North
Australia,AUS,1986,97.02,"144,772,332,334","9,038","4,685,410",859,"15,497,300",44.51,,16.22,"7,309","182,368,000,000","11,385",9.05,,"7,682,300",15,,"16,018,400",,22.57,1,Global North
Australia,AUS,1987,97.57,"150,331,884,016","9,243","4,710,200",991,"16,880,200",48.31,,14.88,"7,526","189,400,000,000","11,645",8.53,,"7,682,300",15.08,,"16,263,900",,23.22,1,Global North
Australia,AUS,1988,98.25,"189,456,612,920","11,460","4,720,520","1,027","18,816,300",51.8,,13.36,"7,801","236,066,000,000","14,279",7.22,,"7,682,300",14.08,,"16,532,200",,23.14,1,Global North
Australia,AUS,1989,98.37,"238,133,504,498","14,162","4,671,040","1,125","15,114,300",55.7,,18.35,"8,129","299,768,000,000","17,828",7.53,,"7,682,300",16.46,,"16,814,400",,22.65,1,Global North
Australia,AUS,1990,97.97,"241,443,523,800","14,148","4,644,370","1,222","17,553,400",59.78,,15.83,"8,527","311,327,000,000","18,243",7.33,"8,475,893","7,682,300",16.35,13.79,"17,065,100",59.5,22.44,1,Global North
Australia,AUS,1991,97.39,"253,319,350,955","14,656","4,627,820","1,223","21,860,100",61.68,,11.05,"8,522","325,903,000,000","18,856",3.18,"8,524,976","7,682,300",13.42,12.57,"17,284,000",61.25,22.33,1,Global North
Australia,AUS,1992,97.16,"253,423,214,180","14,485","4,660,040","1,362","23,886,600",62.3,,7.12,"8,550","325,480,000,000","18,604",1.01,"8,601,726","7,682,300",10.58,12.58,"17,495,000",61.89,20.64,1,Global North
Australia,AUS,1993,96.74,"246,897,847,908","13,975","4,600,970","1,526","26,929,300",63.4,,5.76,"8,702","312,126,000,000","17,667",1.75,"8,634,061","7,682,300",9.42,12.87,"17,667,000",62.56,19.98,1,Global North
Australia,AUS,1994,96.43,"257,911,578,916","14,445","4,691,430","1,646","26,888,500",64.65,,5.75,"8,812","322,807,000,000","18,079",1.97,"8,799,677","7,682,300",9.09,13.21,"17,855,000",62.53,20.01,1,Global North
